"name","year","time","lat","long","pressure","wind","type"
"Allison",1995,"1995-06-03 00:00:00",17.4,-84.3,1005,30,"Tropical Depression"
"Allison",1995,"1995-06-03 06:00:00",18.3,-84.9,1004,30,"Tropical Depression"
"Allison",1995,"1995-06-03 12:00:00",19.3,-85.7,1003,35,"Tropical Storm"
"Allison",1995,"1995-06-03 18:00:00",20.6,-85.8,1001,40,"Tropical Storm"
"Allison",1995,"1995-06-04 00:00:00",22,-86,997,50,"Tropical Storm"
"Allison",1995,"1995-06-04 06:00:00",23.3,-86.3,995,60,"Tropical Storm"
"Allison",1995,"1995-06-04 12:00:00",24.7,-86.2,987,65,"Hurricane"
"Allison",1995,"1995-06-04 18:00:00",26.2,-86.2,988,65,"Hurricane"
"Allison",1995,"1995-06-05 00:00:00",27.6,-86.1,988,65,"Hurricane"
"Allison",1995,"1995-06-05 06:00:00",28.5,-85.6,990,60,"Tropical Storm"
"Allison",1995,"1995-06-05 12:00:00",29.6,-84.7,990,60,"Tropical Storm"
"Allison",1995,"1995-06-05 18:00:00",30.7,-83.8,993,45,"Tropical Storm"
"Allison",1995,"1995-06-06 00:00:00",31.8,-82.8,993,30,"Tropical Depression"
"Barry",1995,"1995-07-06 18:00:00",31.3,-71.6,1011,30,"Tropical Depression"
"Barry",1995,"1995-07-07 00:00:00",31.3,-71.3,1009,30,"Tropical Depression"
"Barry",1995,"1995-07-07 06:00:00",31.6,-71,1007,35,"Tropical Storm"
"Barry",1995,"1995-07-07 12:00:00",32.2,-70.6,1004,40,"Tropical Storm"
"Barry",1995,"1995-07-07 18:00:00",33.2,-70.2,1001,60,"Tropical Storm"
"Barry",1995,"1995-07-08 00:00:00",34,-69.6,997,60,"Tropical Storm"
"Barry",1995,"1995-07-08 06:00:00",34.9,-68.9,997,55,"Tropical Storm"
"Barry",1995,"1995-07-08 12:00:00",35.9,-68.2,997,50,"Tropical Storm"
"Barry",1995,"1995-07-08 18:00:00",37.2,-67.2,997,50,"Tropical Storm"
"Barry",1995,"1995-07-09 00:00:00",38.7,-66,996,50,"Tropical Storm"
"Barry",1995,"1995-07-09 06:00:00",40.5,-64.6,995,50,"Tropical Storm"
"Barry",1995,"1995-07-09 12:00:00",42.3,-63.1,993,50,"Tropical Storm"
"Barry",1995,"1995-07-09 18:00:00",44.3,-61.7,991,50,"Tropical Storm"
"Barry",1995,"1995-07-10 00:00:00",46.4,-60.5,990,45,"Tropical Storm"
"Chantal",1995,"1995-07-12 00:00:00",17.1,-54.9,1012,25,"Tropical Depression"
"Chantal",1995,"1995-07-12 06:00:00",17.5,-56.5,1012,25,"Tropical Depression"
"Chantal",1995,"1995-07-12 12:00:00",18.1,-58.3,1012,25,"Tropical Depression"
"Chantal",1995,"1995-07-12 18:00:00",18.7,-59.9,1011,30,"Tropical Depression"
"Chantal",1995,"1995-07-13 00:00:00",19.2,-61,1011,30,"Tropical Depression"
"Chantal",1995,"1995-07-13 06:00:00",19.6,-61.9,1011,30,"Tropical Depression"
"Chantal",1995,"1995-07-13 12:00:00",20.1,-62.7,1010,30,"Tropical Depression"
"Chantal",1995,"1995-07-13 18:00:00",20.6,-63.6,1010,30,"Tropical Depression"
"Chantal",1995,"1995-07-14 00:00:00",21.1,-64.4,1006,35,"Tropical Storm"
"Chantal",1995,"1995-07-14 06:00:00",21.1,-64.9,1008,35,"Tropical Storm"
"Chantal",1995,"1995-07-14 12:00:00",21.1,-65.2,1009,35,"Tropical Storm"
"Chantal",1995,"1995-07-14 18:00:00",21.3,-65.5,1010,40,"Tropical Storm"
"Chantal",1995,"1995-07-15 00:00:00",21.8,-66,1009,40,"Tropical Storm"
"Chantal",1995,"1995-07-15 06:00:00",22.3,-66.7,1006,45,"Tropical Storm"
"Chantal",1995,"1995-07-15 12:00:00",22.7,-67.5,1006,45,"Tropical Storm"
"Chantal",1995,"1995-07-15 18:00:00",23.2,-67.9,1005,45,"Tropical Storm"
"Chantal",1995,"1995-07-16 00:00:00",23.7,-68.2,1004,45,"Tropical Storm"
"Chantal",1995,"1995-07-16 06:00:00",24.5,-68.4,999,50,"Tropical Storm"
"Chantal",1995,"1995-07-16 12:00:00",25.3,-68.8,999,50,"Tropical Storm"
"Chantal",1995,"1995-07-16 18:00:00",26.2,-69.1,997,55,"Tropical Storm"
"Chantal",1995,"1995-07-17 00:00:00",27.2,-69.4,991,60,"Tropical Storm"
"Chantal",1995,"1995-07-17 06:00:00",28.2,-69.6,995,60,"Tropical Storm"
"Chantal",1995,"1995-07-17 12:00:00",29.3,-69.8,997,60,"Tropical Storm"
"Chantal",1995,"1995-07-17 18:00:00",30.5,-69.8,995,55,"Tropical Storm"
"Chantal",1995,"1995-07-18 00:00:00",31.6,-69.7,994,55,"Tropical Storm"
"Chantal",1995,"1995-07-18 06:00:00",32.6,-69,994,55,"Tropical Storm"
"Chantal",1995,"1995-07-18 12:00:00",33.6,-68.1,995,50,"Tropical Storm"
"Chantal",1995,"1995-07-18 18:00:00",34.6,-67.3,996,50,"Tropical Storm"
"Chantal",1995,"1995-07-19 00:00:00",35.4,-65.8,997,50,"Tropical Storm"
